song_writer,song_name,lyrics,song_link
Frozen 2,Some Things Never Change,"[Anna:] Yes, the wind blows a little colder And we're all getting older And the clouds are moving on with every autumn breeze Peter Pumpkin just became fertilizer [Olaf:] And my leaf's a little sadder and wiser [Anna:] That's why I rely on certain certainties Yes, some things never change Like the feel of your hand in mine Some things stay the same Like how we get along just fine Like an old stone wall that'll never fall Some things are always true Some things never change Like how I'm holding on tight to you [Kristoff:] The leaves are already falling Sven, it feels like the future is calling Are you telling me tonight you're gonna get down on one knee? Yep, but I'm really bad at planning these things out Like candlelight and pulling of rings out Maybe you should leave all the romantic stuff to me Yeah, some things never change Like the love that I feel for her Some things stay the same Like how reindeers are easier But if I commit and I go for it, I'll know what to say and do Right? Some things never change Sven, the pressure is all on you [Elsa:] The winds are restless Could that be why I'm hearing this call Is something coming? I'm not sure I want things to change at all These days are precious, can't let them slip away I can't freeze this moment, but I can still go out and seize this day [All:] The wind blows a little bit colder [Olaf:] And you all look a little bit older [Anna:] It's time to count our blessings beneath an autumn sky [All:] We'll always live in the kingdom of plenty that stands for the good of the many [Elsa:] And I promise you the flag of Arendelle will always fly [All:] Our flag will always fly Some things never change Turn around, and the time has flown Some things stay the same Though the future remains unknown May our good come back May our past be past Time's moving fast, it's true Some things never change And I'm holding on tight to you I'm holding on tight to you I'm holding on tight to you Holding on tight to you I'm holding on tight to you",http://www.disneyclips.com/lyrics/frozen2-some-things-never-change.html
Frozen 2,The Next Right Thing,"I've seen dark before, but not like this This is cold, this is empty, this is numb The life I knew is over; the lights are out Hello darkness: I'm ready to succumb I follow you around (I always have) But you've gone to a place I cannot find This grief has a gravity, it pulls me down But a tiny voice whispers in my mind You are lost, hope is gone But you must go on And do the next right thing Can there be a day beyond this night I don't know anymore what is true I can't find my direction; I'm all alone The only star that guided me was you How to rise from the floor When it's not you I'm rising for Just do the next right thing Take a step, step again It is all that I can to do The next right thing I won't look too far ahead It's too much for me to take But break it down to this next breath, this next step This next choice is one that I can make So I'll walk through this night Stumbling blindly toward the light And do the next right thing And with the dawn what comes then? When it's clear that everything will never be the same again Then I'll make the choice to hear that voice And do the next right thing",http://www.disneyclips.com/lyrics/frozen2-the-next-right-thing.html
Frozen 2,Unmeltable Me,"Hello, hello And welcome to my show Yes, I'm belting while not melting Even though I'm made of snow Perhaps you might recall I once needed my own flurry But now you need not worry Who can handle this enormous candle? Unmeltable me Who's not sweating this sweltering setting? Unmeltable me Yes, Elsa's powers grew And it's a whole new situation Because of our relation I now have self-refrigeration Who is present, but not liquescent? That's right, I just learned to read, and I like the big words Unmeltable me Who's super cuddly and not all puddly? Unmeltable me Who's inexhaustible, indefrostable, humble and fun It's unmeltable- Oh, thank goodness you're here. Grab a seat - just about to bring it on home Me!",http://www.disneyclips.com/lyrics/frozen2-unmeltable-me.html
Frozen 2,When I Am Older,"What was that? Samantha? This will all make sense when I am older Someday I will see that this makes sense One day, when I'm old and wise I'll think back and realize That these were all completely normal events I'll have all the answers when I'm older Like why we're in this dark, enchanted wood I know in a couple years these will seem like childish fears And so I know this isn't bad; it's good Excuse me Growing up means adapting Puzzling out your world and your place When I'm more mature, I'll feel comfortably secure Being watched by something with a creepy, creepy face See, that will all make sense when I am older So there's no need to be terrified or tense I'll just dream about a time When I'm in my aged prime 'Cause when you're older Absolutely everything makes sense This is fine",http://www.disneyclips.com/lyrics/frozen2-when-i-am-older.html
A Goofy Movie,After Today,"[Max:] They've been laughin' since I can remember But they're not gonna laugh anymore No more ""Maxie the Geek"" No more ""Goof of the Week"" like before [Girl:] No more algebra tests 'til September [Girl's boyfriend:] No more lookin' at losers like him [Boy 1:] No more havin' to cheat [Boy 2:] No more mystery meat [Boy 1:] No more gym! [Boy 2:] No more gym! [Boy 3:] No more gym! [Boy 4:] NO MORE GYM! [Lisa:] Gonna move to the mall [Chad:] Gonna live in the pool [Max:] Gonna talk to Roxanne and not feel like a fool [Chorus:] 'Cause after today I'm gonna be cruisin' [Max:] After today, she'll be mine! [Chorus:] After today my brains'll be snoozing [Max:] If I don't faint I'll be fine! [Twin girls:] I've got forty more minutes of Home Economics [Twin boys:] Then down with the textbooks [Boy:] And up with the comics! [Max:] Just think of all the time I've been losin' Finding the right thing to say [Chorus:] But things'll be going my way After today [Max:] She looked right through me And who could blame her? I need a new me Plus some positive proof that I'm not just a goof [Cheerleaders:] And after today I'm gonna be cruisin' [Grunge girls:] No more pep rallies to cut Blech! [Chorus:] After today our brains'll be snoozing [Bus driver:] I'm gonna sit on my butt [Max:] I've got less than an hour And when this is ended I'll either be famous [Principal:] Or you'll be suspended! [Chorus:] Just think of all the time I've been losin' Waiting until I could say Gonna be on my own Kiss the parents good-bye Gonna party from now 'til the end of July Things'll be going my way After today [Max:] I wish that this was the day After today",http://www.disneyclips.com/lyrics/lyricsgoofy4.html
A Goofy Movie,I 2 I,"Hey, yeah I got myself a notion One I know that you'll understand We set the world in motion By reaching out for each other's hand Maybe we'll discover What we should have known all along One way or another Together's where we both belong If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I If a wall should come between us Too high to climb, too hard to break through I know that love will lead us And find a way to bring me to you So don't be in a hurry Think before you count us out You don't have to worry I won't ever let you drown (Nothing's gonna stop us now) If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I Love is why we're seein' it I-2-I (Yes, we are seein' it I-2-I) Seein' it I-2 (Love is why we're seein' it) I think we're seein' it I-2-I (I-2-I) I-2-I We're seein' it I-2-I (I-2-I!) If you're ever lonely, stop! You don't have to be After all, it's only a beat away from you to me (Take a look inside to see) If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I If we listen to each other's heart We'll find we're never too far apart And maybe love is the reason why For the first time ever, we're seein' it I-2-I Seein' it I-2-I Seein' it I-2-I We're seein' it I-2-I, baby For the first time For the first time I-2-I Seein't it Seein' it, baby Seein' it I-2-I For the first time ever Yeah, yeah, yeah Yeah, baby We're seein' it I-2-I Seein' it (Come on, baby) I-2-I I-2-I I-2-I I-2-I Yeah I-2-I!",http://www.disneyclips.com/lyrics/lyricsgoofy2.html
A Goofy Movie,Lester's Possum Park,"Now gather 'round my possum pals Join the jamboree Come hoot and howl and holler from the heart And every chicken, pig and goat'll Help by yelpin' out a yodel Here at Lester's Possum Park Lester's Possum Park Don't ya wanna be a-hangin' from a tree? We're mighty glad to see ya And the parkin's always free Here at Lester's Po-Po-Po-Possum Park!",http://www.disneyclips.com/lyrics/lyricsgoofy5.html
A Goofy Movie,Nobody Else But You,"[Max:] There are times you drive me, shall we say, bananas And your mind is missin', no offence, a screw [Goofy:] None taken [Max:] Still, whatever mess I land in Who is always understandin'? Nobody else but you [Goofy:] Oh, your moodiness is now and then bewilderin' And your values may be, so to speak, askew [Max:] Gesundheit [Goofy:] Thanks Who deserves a hero's trophy as we face each ""catastro-phee""? Nobody else but you [Both:] Nobody else but you It's just our luck We're stuck together Nobody else but you Is crazy enough to believe we'll come through [Max:] So your jokes are all, let's face it, prehistoric [Goofy:] And your music sounds like monkeys in a zoo [Both:] But when life becomes distressin' Who will I be S.O.S'in? [Max:] If you're havin' trouble guessing, here's a clue Though he seems intoxicated He's just highly animated And he's nobody else but [Both:] Nobody else but you We've turned into a true-blue duo Hard times we've had a few [Goofy:] Like we're thrown in the drink [Max:] Like we're tossed out of town [Both:] But when I start to sink, hey, I'd rather go down With nobody else but Y-O-U!",http://www.disneyclips.com/lyrics/lyricsgoofy6.html
A Goofy Movie,On the Open Road,"[Goofy:] Do ya need a break from modern livin'? Do ya long to shed your weary load? If your nerves are raw And your brain is fried Just grab a friend and take a ride Together upon the open road C'mon, Maxie! Ah-yuk! [Max:] All in all, I'd rather have detention All in all, I'd rather eat a toad [Goofy:] Yuck! [Max:] And the old man drives like such a klutz That I'm about to hurl my guts Directly upon the road [Goofy:] There's nothin' can upset me 'Cause now we're on our way Our trusty map will guide us straight and true [Max:] Roxanne, please don't forget me I will return someday Though I may be in traction when I do [Goofy:] Me and Max relaxin' like the old days [Max:] This is worse than dragon breath and acne [Goofy:] In a buddy-buddy kind of mode [Max:] I'm so mad I think I may explode [Goofy:] When I see that highway, I could cry [Max:] Ya know, that's funny So could I [Both:] Just bein' out on the open road [Female Country Singers:] Howdy, boys Is this the way to Nashville? [Tow Truck Driver:] Watch it, Mac! Or you'll be gettin' towed [Prisoner:] I'm in no hurry to arrive 'Cause I'll be turnin' sixty-five The next time I sees the open road [Small Man:] Just a week of rest and relaxation [Large Woman:] Yeah! [Small Man:] And the odd romantic episode [Max:] Very odd! [Mickey Mouse:] It's Californ-i-a or bust [Old Lady:] Look out, you dirtbags Eat my dust From now on, I own the open road! [Goofy:] Just me and little Maxie My pip-squeak pioneer [Nuns:] They're partners forever westward ho [Nuns and Goofy:] Yeehaw! [Max:] Could someone call a taxi And get me outta here To Beverly Hills 90210 [Chorus and Goofy:] Every day another new adventure Every mile another new zip code And the cares we had are gone for good [Max:] And I'd go with them if I could [Chorus and Goofy:] I got no strings on me I'm feelin' fancy-free How wonderful to be On the open road!",http://www.disneyclips.com/lyrics/lyricsgoofy3.html
A Goofy Movie,Stand Out,"Open up your eyes, take a look at me Get the picture fixed in your memory I've been driven by the rhythm like the beat of a heart And I won't stop until I start to stand out Some people settle for the typical things Livin' all their lives waitin' in the wings It ain't a question of if, just a matter of time Before I move to the front of the line Once you're watchin' every move that I make You gotta believe that I got what it takes To stand out Above the crowd Even if I gotta shout out loud Till mine is the only face you'll see Gonna stand out till you notice me, yeah If the squeaky wheel's always gettin' the grease I'm totally devoted to disturbin' the peace And I'll do it all again, when I get it done Until I become your number one No method to the madness and no means of escape Gonna break every rule, I'll bend them all out of shape It ain't a question of how, just a matter of when You'll get the message that I'm tryin' to send I'm under a spell, I'm in over my head And you know I'm going all of the way, till the end To stand out Above the crowd Even if I gotta shout out loud Till mine is the only face you'll see Gonna stand out till you notice me, yeah If I can make you stop and take a look at me instead of just Walkin' by There's nothin' that I wouldn't do If it was gettin' you to notice I'm alive All I need is half a chance, a second thought, a second glance to prove I got whatever it takes It's a piece of cake To stand out Above the crowd Even if I gotta shout out loud Till mine is the only face you'll see Gonna stand out Stand out, hey Stand out! Yeah, yeah, yeah, yeah! Stand out! Till mine's the only face you'll see Gonna stand out Till you notice me",http://www.disneyclips.com/lyrics/lyricsgoofy.html
