,coefs,coefs_with_stopword
eat,-0.452690893836553,-0.46451753716256566
beside,-0.45188554305827056,
okay,-0.4514043777700953,-0.4020530642987369
sees,-0.45096081934496574,-0.38271597262881923
dame,-0.44912818637308827,-0.4257827054382944
red,-0.44793302255902107,-0.5883226393472113
john,-0.44428608989682666,-0.2446170380967869
your,-0.4417922976186891,
matter,-0.4409831794912355,-0.43238704563847546
miracle,-0.44082028409095714,-0.4560460381423821
bare,-0.43971740545103954,-0.4154657329471559
strong,-0.43961511661526653,-0.4922286970530517
hail,-0.43889462166564336,-0.3830911067435568
four,-0.4388337539726339,
live,-0.4384343792928772,-0.30626140587742867
late,-0.4376178228378053,-0.3747522420348818
sleeping,-0.4361374950357937,-0.4533103627204248
edward,-0.43528292364152427,-0.35475639382219787
village,-0.4349407498266378,-0.33793356144558995
watching,-0.4341204102880407,-0.45422134142507
princess,-0.43331354896118,-0.698034994803048
choice,-0.43307786468297493,-0.42546380723655297
anna,-0.4328361270211935,-0.4908483601896246
safe,-0.43142173242171467,-0.4848517096697347
queen,-0.4290573767642266,-0.48763908107212
ingonyama,-0.42872930308847035,-0.5027798164086864
unknown,-0.4281028862917019,-0.30046430051668127
chiminy,-0.42682967368206154,-0.4436462724363084
snowman,-0.4220142880827573,-0.4759783997265725
advice,-0.4206530555212662,-0.5311575222349322
kuzco,-0.4183194874078505,-0.3661873139067915
een,-0.41765435040463156,-0.46123033482016673
sven,-0.4167784934126607,-0.24629955481236254
hup,-0.41572570642998713,-0.6771316136200044
troy,-0.4141349715512972,-0.5422256369609981
gabriella,-0.4141349715512972,-0.5422256369609981
fighting,-0.413238825887581,-0.4544754871228534
holler,-0.4130156446276215,-0.4568946819827897
far,-0.41241401888452806,-0.31708112561199703
muses,-0.41183295979073664,-0.4702184915271972
fathoms,-0.4116376300766263,-0.38320261500044533
moana,-0.40894643964972366,0.0
gift,-0.4087661456260897,-0.5295161079295752
fellas,-0.4075366811619491,-0.4685324985596882
hit,-0.40624492287346436,-0.5420190944406151
tra,-0.4062280032160937,-0.1853131303754928
rough,-0.4061649124387688,-0.4884021972775631
maui,-0.40595453094562234,-0.19642332215008643
secret,-0.4042442782107724,-0.6625083743932922
drop,-0.40234295232551487,-0.3702280726668077
anyway,-0.401460751929972,
cogsworth,-0.40134661701017893,-0.4076719642789136
